species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,n_sequences,n_recordings,family_clean,social_bond,communal,territory,sexual_selection,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Cinnyris_gertrudis,2.2607754085545684e-07,0.023323031035910213,0.11341909875541502,0.11830909225169281,0.0019675560961183035,0.20603586335867238,0.4226762715355705,0.11426886088907924,35,5,Nectariniidae_(Sunbirds_and_Spiderhunters),NA,NA,NA,0.0,9.48,20.4,3.0,2.9,19.2,Oscines
Cinnyris_habessinicus,1.8186424830749297e-20,2.735891137904316e-16,0.002657472146777441,0.00041010525395591377,0.00019984588396535302,0.0012855064731835898,0.9923023675850935,0.003144702657024233,9,2,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,9.5,22.0,3.4,3.0,16.3,Oscines
Cinnyris_jugularis,1.1576439722753449e-10,0.1315201100346822,0.01456556559717581,0.12932052411829914,0.016749594036302093,0.22767058541753796,0.3510895758397374,0.12908404484050112,69,8,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,8.99,20.7,3.3,2.5,17.7,Oscines
Cinnyris_lotenius,2.5039788895368592e-11,0.41202890357504046,2.7567109913475865e-05,0.11230057720952541,5.950521715511291e-07,0.022989112268918036,0.4526507588140072,2.485945384505911e-06,9,2,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,8.77,29.5,4.0,3.6,15.4,Oscines
Cinnyris_mariquensis,4.329256898316467e-09,0.00700754866623365,0.03857668876688231,0.18117279973166486,3.8443431188643796e-07,2.056265172753902e-05,0.7347293006924077,0.038492710727515006,26,8,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,11.47,22.6,3.4,3.4,19.0,Oscines
Cinnyris_mediocris,1.759063793461137e-14,1.0943618186285826e-05,6.119842740670789e-05,0.5114621135699373,4.812106592545177e-05,0.001490846475542052,0.30190210254676897,0.185024674296215,16,5,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,8.19,19.3,3.2,2.8,15.1,Oscines
Cinnyris_osea,0.014381211172471754,0.0029810806687493334,0.32834791695128207,0.24517970449101506,6.673196175015146e-05,0.1374332001800655,0.21611744116138176,0.055492713413284454,40,8,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,2.0,7.18,19.0,2.9,2.7,12.5,Oscines
Cinnyris_pulchellus,7.85226410475375e-24,2.3685694289901507e-06,6.521595478586544e-06,0.7337945712964075,7.594969002051462e-09,1.2383013569730458e-07,0.26619606682659014,3.402869899845752e-07,15,4,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,3.0,7.03,17.5,3.1,2.8,18.5,Oscines
Cinnyris_sovimanga,0.0014212799707293239,0.0008341940727195643,0.10424947501894323,0.45130330040834615,1.1862420565400164e-05,0.22587129733501518,0.21447845596684909,0.001830134806832397,18,5,Nectariniidae_(Sunbirds_and_Spiderhunters),NA,NA,NA,0.0,7.24,20.7,3.4,3.2,14.1,Oscines
Cinnyris_talatala,3.132073280112046e-11,0.019168208586548104,0.14249351967755772,0.1398865267255729,0.014168706904498,0.07232067276507893,0.5505653994763196,0.06139696583310381,92,16,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,8.09,22.9,3.3,2.6,15.8,Oscines
Cinnyris_venustus,2.741741350440518e-20,2.7511839284013498e-06,0.2490858837562492,0.467363668560878,1.0799202833738804e-05,0.005271255191845855,0.2490149248784871,0.029250717225777743,58,20,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,6.56,18.1,3.2,2.8,13.8,Oscines
Cissa_hypoleuca,0.11692880707679047,0.265729882958998,6.668671672520285e-07,0.3585398799247135,0.02879029753567876,0.1554295206670465,0.004765571518551473,0.06981537345105404,35,5,"Corvidae_(Crows,_Jays,_and_Magpies)",3.0,1.0,3.0,0.0,125.0,38.9,9.5,15.3,7.2,Oscines
