Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Thamnophilus nigriceps,Thamnophilus nigriceps,,,,,
Thamnophilus nigrocinereus,Thamnophilus nigrocinereus,Thamnophilus nigrocinereus,Thamnophilus nigrocinereus,,,
Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilus palliatus,,,
Thamnophilus pelzelni,Thamnophilus pelzelni,Thamnophilus pelzelni,Thamnophilus pelzelni,,,
Thamnophilus praecox,Thamnophilus praecox,Thamnophilus praecox,Thamnophilus praecox,,,
Thamnophilus punctatus,Thamnophilus punctatus,Thamnophilus punctatus,Lanius punctatus,Thamnophilus punctatus,,
Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilus ruficapillus,Thamnophilus ruficapillus,,,
Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilus schistaceus,,,
Thamnophilus stictocephalus,Thamnophilus stictocephalus,Thamnophilus stictocephalus,Thamnophilus stictocephalus,,,
Thamnophilus sticturus,Thamnophilus sticturus,Thamnophilus sticturus,Thamnophilus sticturus,,,
Thamnophilus tenuepunctatus,Thamnophilus tenuepunctatus,Thamnophilus tenuepunctatus,Thamnophilus tenuepunctatus,,,
Thamnophilus torquatus,Thamnophilus torquatus,Thamnophilus torquatus,Thamnophilus torquatus,,,
Thamnophilus unicolor,Thamnophilus unicolor,Thamnophilus unicolor,Thamnophilus unicolor,,,
Thamnophilus zarumae,Thamnophilus zarumae,Thamnophilus zarumae,Thamnophilus zarumae,,,
Thamnornis chloropetoides,Thamnornis chloropetoides,,,,,
Leucippus baeri,Thaumasius baeri,,,,,
Leucippus taczanowskii,Thaumasius taczanowskii,,,,,
Thaumastura cora,Thaumastura cora,,,,,
Aratinga acuticaudata,Thectocercus acuticaudatus,,,,,
Theristicus caerulescens,Theristicus caerulescens,,,,,
Theristicus caudatus,Theristicus caudatus,,,,,
Thescelocichla leucopleura,Thescelocichla leucopleura,,,,,
Thinocorus orbignyianus,Thinocorus orbignyianus,,,,,
Thinocorus rumicivorus,Thinocorus rumicivorus,,,,,
Thinornis rubricollis,Thinornis cucullatus,,,,,
Thinornis novaeseelandiae,Thinornis novaeseelandiae,,,,,
Thlypopsis fulviceps,Thlypopsis fulviceps,,,,,
Thlypopsis inornata,Thlypopsis inornata,,,,,
Thlypopsis ornata,Thlypopsis ornata,,,,,
Thlypopsis pectoralis,Thlypopsis pectoralis,,,,,
Pyrrhocoma ruficeps,Thlypopsis pyrrhocoma,Pyrrhocoma ruficeps,Pyrrhocoma ruficeps,,,
Thlypopsis ruficeps,Thlypopsis ruficeps,,,,,
Thlypopsis sordida,Thlypopsis sordida,Thlypopsis sordida,Thlypopsis sordida,,,
Hemispingus superciliaris,Thlypopsis superciliaris,Hemispingus superciliaris,Arremon superciliaris,Hemispingus superciliaris,,
Thraupis abbas,Thraupis abbas,Thraupis abbas,Tangara abbas,Thraupis abbas,,
Thraupis cyanoptera,Thraupis cyanoptera,Thraupis cyanoptera,Saltator cyanopterus,Thraupis cyanoptera,,
Thraupis episcopus,Thraupis episcopus,Thraupis episcopus,Tangara episcopus,Thraupis episcopus,,
Thraupis glaucocolpa,Thraupis glaucocolpa,Thraupis glaucocolpa,Tangara glaucocolpa,Thraupis glaucocolpa,,
Thraupis ornata,Thraupis ornata,Thraupis ornata,Tangara ornata,Thraupis ornata,,
Thraupis palmarum,Thraupis palmarum,Thraupis palmarum,Tangara palmarum,Thraupis palmarum,,
Thraupis sayaca,Thraupis sayaca,Thraupis sayaca,Tangara sayaca,Thraupis sayaca,,
Threnetes leucurus,Threnetes leucurus,,,,,
Threnetes niger,Threnetes niger,,,,,
Threnetes ruckeri,Threnetes ruckeri,,,,,
Threskiornis aethiopicus,Threskiornis aethiopicus,,,,,
Threskiornis bernieri,Threskiornis bernieri,,,,,
Threskiornis melanocephalus,Threskiornis melanocephalus,,,,,
Threskiornis molucca,Threskiornis molucca,,,,,
Threskiornis spinicollis,Threskiornis spinicollis,,,,,
Thripadectes flammulatus,Thripadectes flammulatus,Thripadectes flammulatus,Thripadectes flammulatus,,,
Thripadectes holostictus,Thripadectes holostictus,Thripadectes holostictus,Thripadectes holostictus,,,
Thripadectes ignobilis,Thripadectes ignobilis,Thripadectes ignobilis,Thripadectes ignobilis,,,
Thripadectes melanorhynchus,Thripadectes melanorhynchus,Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,
Thripadectes rufobrunneus,Thripadectes rufobrunneus,,,,,
Thripadectes scrutator,Thripadectes scrutator,,,,,
Thripadectes virgaticeps,Thripadectes virgaticeps,Thripadectes virgaticeps,Thripadectes virgaticeps,,,
Thripophaga berlepschi,Thripophaga berlepschi,,,,,
Thripophaga cherriei,Thripophaga cherriei,,,,,
Thripophaga fusciceps,Thripophaga fusciceps,Thripophaga fusciceps,Thripophaga fusciceps,,,
Thripophaga macroura,Thripophaga macroura,Thripophaga macroura,Thripophaga macroura,,,
Thryomanes bewickii,Thryomanes bewickii,Thryomanes bewickii,Troglodytes bewickii,Thryomanes bewickii,,
Thryothorus nicefori,Thryophilus nicefori,Thryophilus nicefori,Thryothorus nicefori,Thryophilus nicefori,,
Thryothorus pleurostictus,Thryophilus pleurostictus,Thryophilus pleurostictus,Thryothorus pleurostictus,Thryophilus pleurostictus,,
Thryothorus sinaloa,Thryophilus sinaloa,Thryophilus sinaloa,Thryophilus sinaloa,,,
Thryorchilus browni,Thryorchilus browni,Thryorchilus browni,Thryorchilus browni,,,
Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,,,
Tiaris olivaceus,Tiaris olivaceus,Tiaris olivaceus,Tiaris olivaceus,,,
Tichodroma muraria,Tichodroma muraria,Tichodroma muraria,Tichodroma muraria,,,
Tickellia hodgsoni,Tickellia hodgsoni,Tickellia hodgsoni,Abrornis hodgsoni,Tickellia hodgsoni,,
Tigriornis leucolopha,Tigriornis leucolopha,,,,,
Tigrisoma fasciatum,Tigrisoma fasciatum,,,,,
Tigrisoma lineatum,Tigrisoma lineatum,,,,,
Tigrisoma mexicanum,Tigrisoma mexicanum,,,,,
Tilmatura dupontii,Tilmatura dupontii,,,,,
Timalia pileata,Timalia pileata,Timalia pileata,Timalia pileata,,,
Timeliopsis fulvigula,Timeliopsis fulvigula,,,,,
Timeliopsis griseigula,Timeliopsis griseigula,,,,,
Tinamotis ingoufi,Tinamotis ingoufi,,,,,
Tinamotis pentlandii,Tinamotis pentlandii,,,,,
Tinamus guttatus,Tinamus guttatus,,,,,
Tinamus major,Tinamus major,,,,,
Tinamus osgoodi,Tinamus osgoodi,,,,,
Tinamus solitarius,Tinamus solitarius,,,,,
Tinamus tao,Tinamus tao,,,,,
Tityra cayana,Tityra cayana,,,,,
Tityra inquisitor,Tityra inquisitor,,,,,
Tityra semifasciata,Tityra semifasciata,Tityra semifasciata,Tityra semifasciata,,,
Tmetothylacus tenellus,Tmetothylacus tenellus,,,,,
Tockus deckeni,Tockus deckeni,,,,,
Tockus flavirostris,Tockus flavirostris,,,,,
Tockus jacksoni,Tockus jacksoni,,,,,
Tockus leucomelas,Tockus leucomelas,,,,,
Tockus monteiri,Tockus monteiri,,,,,
Todiramphus albonotatus,Todiramphus albonotatus,,,,,
Todiramphus australasia,Todiramphus australasia,,,,,
Todiramphus diops,Todiramphus diops,,,,,
Todiramphus enigma,Todiramphus enigma,,,,,
Todiramphus farquhari,Todiramphus farquhari,,,,,
Todiramphus funebris,Todiramphus funebris,,,,,
Todiramphus godeffroyi,Todiramphus godeffroyi,,,,,
Todiramphus lazuli,Todiramphus lazuli,,,,,
Todiramphus leucopygius,Todiramphus leucopygius,,,,,
Todiramphus macleayii,Todiramphus macleayii,,,,,
Todiramphus nigrocyaneus,Todiramphus nigrocyaneus,,,,,
Todiramphus pyrrhopygius,Todiramphus pyrrhopygius,,,,,
Todiramphus recurvirostris,Todiramphus recurvirostris,,,,,
Todiramphus ruficollaris,Todiramphus ruficollaris,,,,,
Todiramphus sanctus,Todiramphus sanctus,,,,,
Todiramphus saurophaga,Todiramphus saurophagus,,,,,
Todiramphus tutus,Todiramphus tutus,,,,,
Todiramphus veneratus,Todiramphus veneratus,,,,,
Todiramphus winchelli,Todiramphus winchelli,,,,,
Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,,,
Todirostrum cinereum,Todirostrum cinereum,Todirostrum cinereum,Todirostrum cinereum,,,
Todirostrum maculatum,Todirostrum maculatum,Todirostrum maculatum,Todus maculatus,Todirostrum maculatum,,
Todirostrum nigriceps,Todirostrum nigriceps,Todirostrum nigriceps,Todirostrum nigriceps,,,
Todirostrum pictum,Todirostrum pictum,Todirostrum pictum,Todirostrum pictum,,,
Todirostrum poliocephalum,Todirostrum poliocephalum,Todirostrum poliocephalum,Todirostrum poliocephalum,,,
Todirostrum viridanum,Todirostrum viridanum,,,,,
Todus angustirostris,Todus angustirostris,,,,,
Todus mexicanus,Todus mexicanus,,,,,
Todus multicolor,Todus multicolor,,,,,
Todus subulatus,Todus subulatus,,,,,
Todus todus,Todus todus,,,,,
Tolmomyias poliocephalus,Tolmomyias poliocephalus,Tolmomyias poliocephalus,Rhynchocyclus poliocephalus,Tolmomyias poliocephalus,,
Tolmomyias sulphurescens,Tolmomyias sulphurescens,Tolmomyias sulphurescens,Tolmomyias sulphurescens,,,
Tolmomyias traylori,Tolmomyias traylori,Tolmomyias traylori,Tolmomyias traylori,,,
Topaza pella,Topaza pella,,,,,
Topaza pyra,Topaza pyra,,,,,
Torgos tracheliotos,Torgos tracheliotos,,,,,
Torreornis inexpectata,Torreornis inexpectata,,,,,
Touit batavicus,Touit batavicus,,,,,
Touit costaricensis,Touit costaricensis,,,,,
Touit dilectissimus,Touit dilectissimus,,,,,
Touit huetii,Touit huetii,,,,,
Touit melanonotus,Touit melanonotus,,,,,
Touit purpuratus,Touit purpuratus,,,,,
Touit stictopterus,Touit stictopterus,,,,,
Touit surdus,Touit surdus,,,,,
Toxorhamphus novaeguineae,Toxorhamphus novaeguineae,Toxorhamphus novaeguineae,Toxorhamphus novaeguineae,,,
Toxorhamphus poliopterus,Toxorhamphus poliopterus,,,,,
Toxostoma bendirei,Toxostoma bendirei,Toxostoma bendirei,Toxostoma bendirei,,,
Toxostoma cinereum,Toxostoma cinereum,,,,,
Toxostoma crissale,Toxostoma crissale,Toxostoma crissale,Toxostoma crissale,,,
Toxostoma curvirostre,Toxostoma curvirostre,Toxostoma curvirostre,Toxostoma curvirostre,,,
Toxostoma guttatum,Toxostoma guttatum,,,,,
Toxostoma lecontei,Toxostoma lecontei,Toxostoma lecontei,Toxostoma lecontei,,,
Toxostoma longirostre,Toxostoma longirostre,Toxostoma longirostre,Toxostoma longirostre,,,
Toxostoma ocellatum,Toxostoma ocellatum,Toxostoma ocellatum,Toxostoma ocellatum,,,
Toxostoma redivivum,Toxostoma redivivum,Toxostoma redivivum,Toxostoma redivivum,,,
Toxostoma rufum,Toxostoma rufum,Toxostoma rufum,Toxostoma rufum,,,
Trachyphonus erythrocephalus,Trachyphonus erythrocephalus,,,,,
Trachyphonus margaritatus,Trachyphonus margaritatus,,,,,
Trachyphonus purpuratus,Trachyphonus purpuratus,,,,,
Trachyphonus vaillantii,Trachyphonus vaillantii,,,,,
Tragopan blythii,Tragopan blythii,,,,,
Tragopan caboti,Tragopan caboti,,,,,
Tragopan melanocephalus,Tragopan melanocephalus,,,,,
Tragopan satyra,Tragopan satyra,,,,,
Tragopan temminckii,Tragopan temminckii,,,,,
Tregellasia capito,Tregellasia capito,,,,,
Tregellasia leucops,Tregellasia leucops,,,,,
Treron apicauda,Treron apicauda,,,,,
Treron bicinctus,Treron bicinctus,,,,,
Treron calvus,Treron calvus,,,,,
Treron capellei,Treron capellei,,,,,
Treron curvirostra,Treron curvirostra,,,,,
Treron floris,Treron floris,,,,,
Treron formosae,Treron formosae,,,,,
Treron fulvicollis,Treron fulvicollis,,,,,
Treron griseicauda,Treron griseicauda,,,,,
Treron olax,Treron olax,,,,,
Treron oxyurus,Treron oxyurus,,,,,
Treron pembaensis,Treron pembaensis,,,,,
Treron phoenicopterus,Treron phoenicopterus,,,,,
Treron psittaceus,Treron psittaceus,,,,,
Treron sanctithomae,Treron sanctithomae,,,,,
Treron seimundi,Treron seimundi,,,,,
Treron sieboldii,Treron sieboldii,,,,,
Treron sphenurus,Treron sphenurus,,,,,
Treron teysmannii,Treron teysmannii,,,,,
Treron vernans,Treron vernans,,,,,
Treron waalia,Treron waalia,,,,,
Gallinula mortierii,Tribonyx mortierii,,,,,
Gallinula ventralis,Tribonyx ventralis,,,,,
Trichodere cockerelli,Trichodere cockerelli,,,,,
Trichoglossus chlorolepidotus,Trichoglossus chlorolepidotus,,,,,
Trichoglossus euteles,Trichoglossus euteles,,,,,
Trichoglossus rubiginosus,Trichoglossus rubiginosus,,,,,
Tricholaema diademata,Tricholaema diademata,,,,,
Tricholaema frontata,Tricholaema frontata,,,,,
Tricholaema hirsuta,Tricholaema hirsuta,,,,,
Tricholaema lacrymosa,Tricholaema lacrymosa,,,,,
Tricholaema leucomelas,Tricholaema leucomelas,,,,,
Tricholaema melanocephala,Tricholaema melanocephala,,,,,
Tricholestes criniger,Tricholestes criniger,Tricholestes criniger,Tricholestes criniger,,,
Trichothraupis melanops,Trichothraupis melanops,Trichothraupis melanops,Trichothraupis melanops,,,
Triclaria malachitacea,Triclaria malachitacea,,,,,
Trigonoceps occipitalis,Trigonoceps occipitalis,,,,,
Heteroscelus brevipes,Tringa brevipes,,,,,
Tringa erythropus,Tringa erythropus,,,,,
Tringa flavipes,Tringa flavipes,,,,,
Tringa glareola,Tringa glareola,,,,,
Tringa guttifer,Tringa guttifer,,,,,
Heteroscelus incanus,Tringa incana,,,,,
Tringa melanoleuca,Tringa melanoleuca,,,,,
Tringa nebularia,Tringa nebularia,,,,,
Tringa ochropus,Tringa ochropus,,,,,
Catoptrophorus semipalmatus,Tringa semipalmata,,,,,
Tringa solitaria,Tringa solitaria,,,,,
Tringa stagnatilis,Tringa stagnatilis,,,,,
Tringa totanus,Tringa totanus,,,,,
Garrulax affinis,Trochalopteron affine,Trochalopteron affine,Garrulax affinis,Trochalopteron affine,,
Garrulax austeni,Trochalopteron austeni,Trochalopteron austeni,Trochalopteron austeni,,,
Garrulax chrysopterus,Trochalopteron chrysopterum,Trochalopteron chrysopterum,Ianthocincla chrysoptera,Trochalopteron chrysopterum,,
Garrulax elliotii,Trochalopteron elliotii,Trochalopteron elliotii,Trochalopteron elliotii,,,
Garrulax erythrocephalus,Trochalopteron erythrocephalum,Trochalopteron erythrocephalum,Trochalopteron erythrocephalum,,,
Garrulax formosus,Trochalopteron formosum,Trochalopteron formosum,Trochalopteron formosum,,,
Garrulax henrici,Trochalopteron henrici,,,,,
Garrulax imbricatus,Trochalopteron imbricatum,Trochalopteron imbricatum,Garrulax imbricatus,Trochalopteron imbricatum,,
Garrulax lineatus,Trochalopteron lineatum,Trochalopteron lineatum,Trochalopteron lineatum,,,
Garrulax melanostigma,Trochalopteron melanostigma,Trochalopteron melanostigma,Garrulax melanostigma,Trochalopteron melanostigma,,
Garrulax milnei,Trochalopteron milnei,,,,,
Garrulax morrisonianus,Trochalopteron morrisonianum,Trochalopteron morrisonianum,Trochalopteron morrisonianum,,,
Garrulax ngoclinhensis,Trochalopteron ngoclinhense,,,,,
Garrulax peninsulae,Trochalopteron peninsulae,Trochalopteron peninsulae,Trochalopteron peninsulae,,,
Garrulax squamatus,Trochalopteron squamatum,Trochalopteron squamatum,Ianthocincla squamata,Trochalopteron squamatum,,
Garrulax subunicolor,Trochalopteron subunicolor,Trochalopteron subunicolor,Trochalopteron subunicolor,,,
Garrulax variegatus,Trochalopteron variegatum,Trochalopteron variegatum,Garrulax variegatus,Trochalopteron variegatum,,
Garrulax virgatus,Trochalopteron virgatum,Trochalopteron virgatum,Trochalopteron virgatum,,,
Garrulax yersini,Trochalopteron yersini,,,,,
Trochocercus cyanomelas,Trochocercus cyanomelas,Trochocercus cyanomelas,,,,
Trochocercus nitens,Trochocercus nitens,,,,,
Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,,,
Troglodytes cobbi,Troglodytes cobbi,,,,,
Troglodytes monticola,Troglodytes monticola,,,,,
Troglodytes ochraceus,Troglodytes ochraceus,Troglodytes ochraceus,Troglodytes ochraceus,,,
Troglodytes rufociliatus,Troglodytes rufociliatus,Troglodytes rufociliatus,Troglodytes rufociliatus,,,
Troglodytes rufulus,Troglodytes rufulus,,,,,
Troglodytes sissonii,Troglodytes sissonii,,,,,
Troglodytes solstitialis,Troglodytes solstitialis,Troglodytes solstitialis,Troglodytes solstitialis,,,
Troglodytes tanneri,Troglodytes tanneri,,,,,
Trogon bairdii,Trogon bairdii,,,,,
Trogon caligatus,Trogon caligatus,,,,,
Trogon chionurus,Trogon chionurus,,,,,
Trogon citreolus,Trogon citreolus,,,,,
Trogon clathratus,Trogon clathratus,,,,,
Trogon comptus,Trogon comptus,,,,,
Trogon curucui,Trogon curucui,,,,,
Trogon elegans,Trogon elegans,,,,,
Trogon massena,Trogon massena,,,,,
Trogon melanocephalus,Trogon melanocephalus,,,,,
Trogon melanurus,Trogon melanurus,,,,,
Trogon mesurus,Trogon mesurus,,,,,
Trogon mexicanus,Trogon mexicanus,,,,,
Trogon personatus,Trogon personatus,,,,,
Trogon rufus,Trogon rufus,,,,,
Trogon surrucura,Trogon surrucura,,,,,
Trogon viridis,Trogon viridis,,,,,
Arborophila charltonii,Tropicoperdix charltonii,,,,,
Arborophila chloropus,Tropicoperdix chloropus,,,,,
Trugon terrestris,Trugon terrestris,,,,,
Hylophilus ochraceiceps,Tunchiornis ochraceiceps,Hylophilus ochraceiceps,Hylophilus ochraceiceps,,,
Turacoena modesta,Turacoena modesta,,,,,
Turdinus atrigularis,Turdinus atrigularis,Turdinus atrigularis,Napothera atrigularis,,,
Turdinus macrodactylus,Turdinus macrodactylus,,,,,
Turdinus marmorata,Turdinus marmoratus,,,,,
Phyllanthus atripennis,Turdoides atripennis,,,,,
Turdoides bicolor,Turdoides bicolor,,,,,
Kupeornis chapini,Turdoides chapini,,,,,
Kupeornis gilberti,Turdoides gilberti,,,,,
Turdoides gymnogenys,Turdoides gymnogenys,,,,,
Turdoides hartlaubii,Turdoides hartlaubii,Turdoides hartlaubii,Turdoides hartlaubii,,,
Turdoides hindei,Turdoides hindei,,,,,
Turdoides hypoleuca,Turdoides hypoleuca,,,,,
Turdoides jardineii,Turdoides jardineii,Turdoides jardineii,Turdoides jardineii,,,
Turdoides leucocephala,Turdoides leucocephala,,,,,
Turdoides leucopygia,Turdoides leucopygia,,,,,
Turdoides melanops,Turdoides melanops,,,,,
Turdoides nipalensis,Turdoides nipalensis,,,,,
Turdoides plebejus,Turdoides plebejus,Turdoides plebejus,Turdoides plebejus,,,
Turdoides reinwardii,Turdoides reinwardtii,Turdoides reinwardtii,Turdoides reinwardtii,,,
Kupeornis rufocinctus,Turdoides rufocinctus,,,,,
Turdoides sharpei,Turdoides sharpei,,,,,
Turdoides squamulata,Turdoides squamulata,,,,,
Turdoides tenebrosa,Turdoides tenebrosa,,,,,
Turdus albicollis,Turdus albicollis,Turdus albicollis,Turdus albicollis,,,
Turdus albocinctus,Turdus albocinctus,Turdus albocinctus,Turdus albocinctus,,,
Turdus amaurochalinus,Turdus amaurochalinus,Turdus amaurochalinus,Turdus amaurochalinus,,,
Turdus aurantius,Turdus aurantius,,,,,
Turdus bewsheri,Turdus bewsheri,,,,,
Turdus boulboul,Turdus boulboul,Turdus boulboul,Turdus boulboul,,,
Turdus cardis,Turdus cardis,,,,,
Turdus celaenops,Turdus celaenops,,,,,
Turdus chiguanco,Turdus chiguanco,Turdus chiguanco,Turdus chiguanco,,,
Turdus chrysolaus,Turdus chrysolaus,,,,,
Turdus dissimilis,Turdus dissimilis,Turdus dissimilis,Turdus dissimilis,,,
Nesocichla eremita,Turdus eremita,,,,,
Turdus falcklandii,Turdus falcklandii,Turdus falcklandii,Turdus falcklandii,,,
Turdus feae,Turdus feae,Turdus feae,Turdus feae,,,
Turdus flavipes,Turdus flavipes,Turdus flavipes,Turdus flavipes,,,
Turdus fulviventris,Turdus fulviventris,Turdus fulviventris,Turdus fulviventris,,,
Turdus fumigatus,Turdus fumigatus,,,,,
Turdus fuscater,Turdus fuscater,Turdus fuscater,Turdus fuscater,,,
Turdus grayi,Turdus grayi,Turdus grayi,Turdus grayi,,,
Turdus haplochrous,Turdus haplochrous,,,,,
Turdus helleri,Turdus helleri,,,,,
Turdus hortulorum,Turdus hortulorum,Turdus hortulorum,Turdus hortulorum,,,
Turdus iliacus,Turdus iliacus,Turdus iliacus,Turdus iliacus,,,
Turdus infuscatus,Turdus infuscatus,Turdus infuscatus,Turdus infuscatus,,,
Turdus jamaicensis,Turdus jamaicensis,,,,,
Turdus kessleri,Turdus kessleri,,,,,
Turdus lawrencii,Turdus lawrencii,Turdus lawrencii,Turdus lawrencii,,,
Turdus leucomelas,Turdus leucomelas,Turdus leucomelas,Turdus leucomelas,,,
Turdus leucops,Turdus leucops,Turdus leucops,Turdus leucops,,,
Turdus lherminieri,Turdus lherminieri,,,,,
Turdus libonyanus,Turdus libonyana,Turdus libonyana,Turdus libonyana,,,
Turdus ludoviciae,Turdus ludoviciae,,,,,
Turdus maculirostris,Turdus maculirostris,Turdus maculirostris,Turdus maculirostris,,,
Turdus maranonicus,Turdus maranonicus,Turdus maranonicus,Turdus maranonicus,,,
Turdus menachensis,Turdus menachensis,,,,,
Turdus migratorius,Turdus migratorius,Turdus migratorius,Turdus migratorius,,,
Turdus nigrescens,Turdus nigrescens,,,,,
Turdus nigriceps,Turdus nigriceps,Turdus nigriceps,Turdus nigriceps,,,
Turdus nudigenis,Turdus nudigenis,Turdus nudigenis,Turdus nudigenis,,,
Turdus obscurus,Turdus obscurus,Turdus obscurus,Turdus obscurus,,,
Turdus obsoletus,Turdus obsoletus,Turdus obsoletus,Turdus obsoletus,,,
Turdus olivater,Turdus olivater,,,,,
Turdus pallidus,Turdus pallidus,Turdus pallidus,Turdus pallidus,,,
Turdus pelios,Turdus pelios,Turdus pelios,Turdus pelios,,,
Turdus philomelos,Turdus philomelos,Turdus philomelos,Turdus philomelos,,,
Turdus pilaris,Turdus pilaris,Turdus pilaris,Turdus pilaris,,,
Turdus plebejus,Turdus plebejus,Turdus plebejus,Turdus plebejus,,,
Turdus plumbeus,Turdus plumbeus,Turdus plumbeus,Turdus plumbeus,,,
Turdus reevei,Turdus reevei,Turdus reevei,Turdus reevei,,,
Turdus rubrocanus,Turdus rubrocanus,Turdus rubrocanus,Turdus rubrocanus,,,
Turdus rufitorques,Turdus rufitorques,,,,,
Turdus rufiventris,Turdus rufiventris,Turdus rufiventris,Turdus rufiventris,,,
Turdus rufopalliatus,Turdus rufopalliatus,Turdus rufopalliatus,Turdus rufopalliatus,,,
Turdus serranus,Turdus serranus,Turdus serranus,Turdus serranus,,,
Turdus subalaris,Turdus subalaris,Turdus subalaris,Turdus subalaris,,,
Turdus swalesi,Turdus swalesi,,,,,
Turdus tephronotus,Turdus tephronotus,,,,,
Turdus torquatus,Turdus torquatus,Turdus torquatus,Turdus torquatus,,,
Turdus unicolor,Turdus unicolor,Turdus unicolor,Turdus unicolor,,,
Turdus viscivorus,Turdus viscivorus,Turdus viscivorus,Turdus viscivorus,,,
Turnix castanotus,Turnix castanotus,,,,,
Turnix everetti,Turnix everetti,,,,,
Turnix maculosus,Turnix maculosus,,,,,
Turnix melanogaster,Turnix melanogaster,,,,,
Turnix nigricollis,Turnix nigricollis,,,,,
Turnix ocellatus,Turnix ocellatus,,,,,
Turnix olivii,Turnix olivii,,,,,
Turnix pyrrhothorax,Turnix pyrrhothorax,,,,,
Turnix suscitator,Turnix suscitator,,,,,
Turnix sylvaticus,Turnix sylvaticus,,,,,
Turnix tanki,Turnix tanki,,,,,
Turnix varius,Turnix varius,,,,,
Turnix velox,Turnix velox,,,,,
Turnix worcesteri,Turnix worcesteri,,,,,
Turtur abyssinicus,Turtur abyssinicus,,,,,
Turtur afer,Turtur afer,,,,,
Turtur brehmeri,Turtur brehmeri,,,,,
Turtur chalcospilos,Turtur chalcospilos,,,,,
Turtur tympanistria,Turtur tympanistria,,,,,
Tylas eduardi,Tylas eduardi,Tylas eduardi,Tylas eduardi,,,
Tympanuchus cupido,Tympanuchus cupido,,,,,
Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,,,,,
Tympanuchus phasianellus,Tympanuchus phasianellus,,,,,
Tyranneutes stolzmanni,Tyranneutes stolzmanni,Tyranneutes stolzmanni,Tyranneutes stolzmanni,,,
Tyranneutes virescens,Tyranneutes virescens,Tyranneutes virescens,Pipra virescens,Tyranneutes virescens,,
Tyrannopsis sulphurea,Tyrannopsis sulphurea,Tyrannopsis sulphurea,Muscicapa sulphurea,Tyrannopsis sulphurea,,
Tyrannulus elatus,Tyrannulus elatus,Tyrannulus elatus,Tyrannulus elatus,,,
Tyrannus albogularis,Tyrannus albogularis,Tyrannus albogularis,Tyrannus albogularis,,,
Tyrannus caudifasciatus,Tyrannus caudifasciatus,,,,,
Tyrannus couchii,Tyrannus couchii,Tyrannus couchii,Tyrannus couchii,,,
Tyrannus crassirostris,Tyrannus crassirostris,Tyrannus crassirostris,Tyrannus crassirostris,,,
Tyrannus cubensis,Tyrannus cubensis,,,,,
Tyrannus dominicensis,Tyrannus dominicensis,Tyrannus dominicensis,Lanius dominicensis,Tyrannus dominicensis,,
Tyrannus forficatus,Tyrannus forficatus,,,,,
Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,,,
Tyrannus niveigularis,Tyrannus niveigularis,,,,,
Tyrannus savana,Tyrannus savana,Tyrannus savana,Tyrannus savana,,,
Tyrannus tyrannus,Tyrannus tyrannus,Tyrannus tyrannus,Lanius tyrannus,Tyrannus tyrannus,,
Tyrannus verticalis,Tyrannus verticalis,Tyrannus verticalis,Tyrannus verticalis,,,
Tyrannus vociferans,Tyrannus vociferans,Tyrannus vociferans,Tyrannus vociferans,,,
Tyto sororcula,Tyto almae,,,,,
Tyto aurantia,Tyto aurantia,,,,,
Tyto capensis,Tyto capensis,,,,,
Tyto glaucops,Tyto glaucops,,,,,
Tyto inexspectata,Tyto inexspectata,,,,,
Tyto longimembris,Tyto longimembris,,,,,
Tyto manusi,Tyto manusi,,,,,
Tyto nigrobrunnea,Tyto nigrobrunnea,,,,,
Tyto rosenbergii,Tyto rosenbergii,,,,,
Tyto soumagnei,Tyto soumagnei,,,,,
Tyto tenebricosa,Tyto tenebricosa,,,,,
Upucerthia albigula,Upucerthia albigula,,,,,
Upucerthia dumetaria,Upucerthia dumetaria,Upucerthia dumetaria,Upucerthia dumetaria,,,
Upucerthia saturatior,Upucerthia saturatior,Upucerthia saturatior,Upucerthia saturatior,,,
Uraeginthus angolensis,Uraeginthus angolensis,,,,,
Uraeginthus bengalus,Uraeginthus bengalus,Uraeginthus bengalus,Uraeginthus bengalus,,,
Uraeginthus cyanocephalus,Uraeginthus cyanocephalus,,,,,
Amazilia franciae,Uranomitra franciae,,,,,
Uratelornis chimaera,Uratelornis chimaera,,,,,
Uria aalge,Uria aalge,,,,,
Uria lomvia,Uria lomvia,,,,,
Phalacrocorax pelagicus,Urile pelagicus,,,,,
Phalacrocorax penicillatus,Urile penicillatus,,,,,
Phalacrocorax urile,Urile urile,,,,,
Urocissa caerulea,Urocissa caerulea,,,,,
